outer_fold,initial_label_count,strategy,labelled_count,scope,fixed_budget_summary,terminal_consistency_only,selected_count,mean_pairwise_normalized_levenshtein,minimum_pairwise_normalized_levenshtein
1,10,predictive_entropy,185,batch,False,False,5,0.7,0.16666666666666666
1,10,predictive_entropy,185,cumulative,False,False,175,0.8582772443565806,0.0625
1,10,predictive_entropy,190,batch,False,False,5,0.7633333333333333,0.3333333333333333
1,10,predictive_entropy,190,cumulative,False,False,180,0.8558842806037259,0.0625
1,10,predictive_entropy,195,batch,False,False,5,0.7166666666666667,0.3333333333333333
1,10,predictive_entropy,195,cumulative,False,False,185,0.857616835811916,0.0625
1,10,predictive_entropy,200,batch,False,False,5,0.6516666666666666,0.2
1,10,predictive_entropy,200,cumulative,False,False,190,0.8608560945300822,0.0625
1,10,predictive_entropy,205,batch,False,False,5,0.46,0.1
1,10,predictive_entropy,205,cumulative,False,False,195,0.8630872266042766,0.0625
1,10,predictive_entropy,210,batch,False,False,5,0.8203787878787879,0.2
1,10,predictive_entropy,210,cumulative,False,False,200,0.8651924058962871,0.0625
1,10,predictive_entropy,215,batch,False,False,5,0.78,0.36363636363636365
1,10,predictive_entropy,215,cumulative,False,False,205,0.8653572759390927,0.0625
1,10,predictive_entropy,220,batch,False,False,5,0.789047619047619,0.3
1,10,predictive_entropy,220,cumulative,False,False,210,0.8669310576841066,0.0625
1,10,predictive_entropy,225,batch,False,False,5,0.8879365079365079,0.7777777777777778
1,10,predictive_entropy,225,cumulative,False,False,215,0.8678180729582313,0.0625
1,10,predictive_entropy,230,batch,False,False,5,0.9436363636363636,0.6363636363636364
1,10,predictive_entropy,230,cumulative,False,False,220,0.8691590606454276,0.0625
1,10,predictive_entropy,235,batch,False,True,5,0.8445238095238096,0.1
1,10,predictive_entropy,235,cumulative,False,True,225,0.8707393484143954,0.0625
1,10,random,15,batch,False,False,5,0.7781385281385281,0.36363636363636365
1,10,random,15,cumulative,False,False,5,0.7781385281385281,0.36363636363636365
1,10,random,20,batch,False,False,5,0.8158333333333333,0.3333333333333333
1,10,random,20,cumulative,False,False,10,0.8039129389129389,0.2727272727272727
1,10,random,25,batch,False,False,5,0.8381944444444445,0.16666666666666666
1,10,random,25,cumulative,False,False,15,0.8107252800109943,0.16666666666666666
1,10,random,30,batch,False,False,5,0.7333333333333334,0.16666666666666666
1,10,random,30,cumulative,False,False,20,0.799533587757272,0.16666666666666666
1,10,random,35,batch,False,False,5,0.7970238095238095,0.3333333333333333
1,10,random,35,cumulative,False,False,25,0.7987332251082251,0.16666666666666666
1,10,random,40,batch,False,False,5,0.9,0.6666666666666666
1,10,random,40,cumulative,False,False,30,0.8152426149839943,0.16666666666666666
1,10,random,45,batch,False,False,5,0.8814285714285715,0.3
1,10,random,45,cumulative,False,False,35,0.8264970230516449,0.16666666666666666
1,10,random,50,batch,False,False,5,0.9094736842105263,0.6
1,10,random,50,cumulative,False,False,40,0.8450252294002294,0.16666666666666666
1,10,random,55,batch,False,False,5,0.8888888888888888,0.3333333333333333
1,10,random,55,cumulative,False,False,45,0.8415766468896453,0.16666666666666666
1,10,random,60,batch,True,False,5,0.9145833333333333,0.8333333333333334
1,10,random,60,cumulative,True,False,50,0.8533937177513977,0.16666666666666666
1,10,random,65,batch,False,False,5,0.9272619047619047,0.7142857142857143
1,10,random,65,cumulative,False,False,55,0.8620066011626352,0.16666666666666666
1,10,random,70,batch,False,False,5,0.83,0.3333333333333333
1,10,random,70,cumulative,False,False,60,0.8586406303165893,0.16666666666666666
1,10,random,75,batch,False,False,5,0.9625,0.75
1,10,random,75,cumulative,False,False,65,0.8631938488229607,0.16666666666666666
1,10,random,80,batch,False,False,5,0.65,0.3333333333333333
1,10,random,80,cumulative,False,False,70,0.8536826070603449,0.16666666666666666
1,10,random,85,batch,False,False,5,0.8833333333333333,0.3333333333333333
1,10,random,85,cumulative,False,False,75,0.8523196419249051,0.16666666666666666
1,10,random,90,batch,False,False,5,0.92,0.8
1,10,random,90,cumulative,False,False,80,0.8553526731337358,0.16666666666666666
1,10,random,95,batch,False,False,5,0.8770833333333333,0.5
1,10,random,95,cumulative,False,False,85,0.8633407062984684,0.16666666666666666
1,10,random,100,batch,False,False,5,0.8787878787878788,0.3333333333333333
1,10,random,100,cumulative,False,False,90,0.8611659063388809,0.16666666666666666
1,10,random,105,batch,False,False,5,0.9489015151515151,0.8333333333333334
1,10,random,105,cumulative,False,False,95,0.8634281481470142,0.0625
1,10,random,110,batch,True,False,5,0.8666666666666667,0.5
1,10,random,110,cumulative,True,False,100,0.8606690561343672,0.0625
1,10,random,115,batch,False,False,5,0.8300000000000001,0.6666666666666666
1,10,random,115,cumulative,False,False,105,0.8666041691182669,0.0625
1,10,random,120,batch,False,False,5,0.8271428571428572,0.6666666666666666
1,10,random,120,cumulative,False,False,110,0.8673672930842282,0.0625
1,10,random,125,batch,False,False,5,0.85,0.3333333333333333
1,10,random,125,cumulative,False,False,115,0.8673778527867412,0.0625
1,10,random,130,batch,False,False,5,0.9066666666666667,0.8125
1,10,random,130,cumulative,False,False,120,0.8679014212011227,0.0625
1,10,random,135,batch,False,False,5,0.9227272727272727,0.8181818181818182
1,10,random,135,cumulative,False,False,125,0.8697904355218447,0.0625
1,10,random,140,batch,False,False,5,0.8675,0.6
1,10,random,140,cumulative,False,False,130,0.869411881468185,0.0625
1,10,random,145,batch,False,False,5,0.8712121212121212,0.5
1,10,random,145,cumulative,False,False,135,0.868496953159823,0.0625
1,10,random,150,batch,False,False,5,0.8661904761904762,0.4
1,10,random,150,cumulative,False,False,140,0.8704618113926006,0.0625
1,10,random,155,batch,False,False,5,0.8904761904761904,0.3333333333333333
1,10,random,155,cumulative,False,False,145,0.8687914738336321,0.0625
1,10,random,160,batch,True,False,5,0.9523809523809523,0.8333333333333334
