outer_fold,initial_label_count,labelled_count,scope,fixed_budget_summary,terminal_consistency_only,strategy_a,strategy_b,jaccard
1,10,35,cumulative,False,False,predictive_entropy,predictive_entropy,1.0
1,10,35,cumulative,False,False,predictive_entropy,static_easy_entropy,0.08695652173913043
1,10,35,cumulative,False,False,predictive_entropy,self_paced_entropy,0.08695652173913043
1,10,35,cumulative,False,False,static_easy_entropy,static_easy_entropy,1.0
1,10,35,cumulative,False,False,static_easy_entropy,self_paced_entropy,0.47058823529411764
1,10,35,cumulative,False,False,self_paced_entropy,self_paced_entropy,1.0
1,10,40,batch,False,False,random,random,1.0
1,10,40,batch,False,False,random,predictive_entropy,0.0
1,10,40,batch,False,False,random,static_easy_entropy,0.0
1,10,40,batch,False,False,random,self_paced_entropy,0.0
1,10,40,batch,False,False,predictive_entropy,predictive_entropy,1.0
1,10,40,batch,False,False,predictive_entropy,static_easy_entropy,0.0
1,10,40,batch,False,False,predictive_entropy,self_paced_entropy,0.0
1,10,40,batch,False,False,static_easy_entropy,static_easy_entropy,1.0
1,10,40,batch,False,False,static_easy_entropy,self_paced_entropy,0.1111111111111111
1,10,40,batch,False,False,self_paced_entropy,self_paced_entropy,1.0
1,10,40,cumulative,False,False,random,random,1.0
1,10,40,cumulative,False,False,random,predictive_entropy,0.1111111111111111
1,10,40,cumulative,False,False,random,static_easy_entropy,0.09090909090909091
1,10,40,cumulative,False,False,random,self_paced_entropy,0.034482758620689655
1,10,40,cumulative,False,False,predictive_entropy,predictive_entropy,1.0
1,10,40,cumulative,False,False,predictive_entropy,static_easy_entropy,0.1320754716981132
1,10,40,cumulative,False,False,predictive_entropy,self_paced_entropy,0.15384615384615385
1,10,40,cumulative,False,False,static_easy_entropy,static_easy_entropy,1.0
1,10,40,cumulative,False,False,static_easy_entropy,self_paced_entropy,0.5
1,10,40,cumulative,False,False,self_paced_entropy,self_paced_entropy,1.0
1,10,45,batch,False,False,random,random,1.0
1,10,45,batch,False,False,random,predictive_entropy,0.0
1,10,45,batch,False,False,random,static_easy_entropy,0.0
1,10,45,batch,False,False,random,self_paced_entropy,0.1111111111111111
1,10,45,batch,False,False,predictive_entropy,predictive_entropy,1.0
1,10,45,batch,False,False,predictive_entropy,static_easy_entropy,0.0
1,10,45,batch,False,False,predictive_entropy,self_paced_entropy,0.0
1,10,45,batch,False,False,static_easy_entropy,static_easy_entropy,1.0
1,10,45,batch,False,False,static_easy_entropy,self_paced_entropy,0.0
1,10,45,batch,False,False,self_paced_entropy,self_paced_entropy,1.0
1,10,45,cumulative,False,False,random,random,1.0
1,10,45,cumulative,False,False,random,predictive_entropy,0.1111111111111111
1,10,45,cumulative,False,False,random,static_easy_entropy,0.1111111111111111
1,10,45,cumulative,False,False,random,self_paced_entropy,0.09375
1,10,45,cumulative,False,False,predictive_entropy,predictive_entropy,1.0
1,10,45,cumulative,False,False,predictive_entropy,static_easy_entropy,0.12903225806451613
1,10,45,cumulative,False,False,predictive_entropy,self_paced_entropy,0.12903225806451613
1,10,45,cumulative,False,False,static_easy_entropy,static_easy_entropy,1.0
1,10,45,cumulative,False,False,static_easy_entropy,self_paced_entropy,0.4583333333333333
