initial_label_count,strategy,outer_fold,aulc_f1,terminal_labeled_count,terminal_f1,terminal_pr_auc,terminal_roc_auc,terminal_brier,terminal_ece_10
10,cluster_diverse_representative,1,0.7567497480554423,110,0.8571428571428572,0.9166593088620101,0.8316666666666667,0.15731868248027608,0.10538620375855583
10,cluster_diverse_representative,2,0.843490555431319,110,0.8686868686868686,0.9400608473314312,0.8666666666666667,0.13852858455900516,0.08958941188746794
10,cluster_diverse_representative,3,0.7980405723438564,110,0.831858407079646,0.8066779966954497,0.7266666666666667,0.189639659871441,0.07306180537446738
10,cluster_diverse_representative,4,0.8085712391178984,110,0.8659793814432989,0.9455837336579813,0.88,0.13591875189902666,0.08340055626892981
10,cluster_diverse_representative,5,0.8221245206866736,110,0.8478260869565216,0.9338072675010298,0.8562925170068028,0.14980745487374655,0.12130215962862105
10,ensemble_mean,1,0.7300672691247212,110,0.792079207920792,0.8838498426815611,0.7625,0.18899658936225455,0.13452638957967833
10,ensemble_mean,2,0.8242034386815159,110,0.8712871287128714,0.9037407631488471,0.8391666666666666,0.1509287395499628,0.1019392171528792
10,ensemble_mean,3,0.7881844930153855,110,0.8256880733944953,0.8240164708390803,0.7325,0.18822552907936532,0.06535434973574239
10,ensemble_mean,4,0.8269995311969924,110,0.8210526315789474,0.9228906407906359,0.8486956521739131,0.1501079571870273,0.0741451650848885
10,ensemble_mean,5,0.8052830069532518,110,0.8141592920353982,0.9283986058498548,0.8367346938775511,0.15630479357946608,0.08888970895195437
10,ensemble_mi,1,0.7972918236419,110,0.7959183673469388,0.9108487728552639,0.8025,0.177708872322996,0.18606785974779963
10,ensemble_mi,2,0.8304342998109473,110,0.8737864077669903,0.9023943575493768,0.8391666666666666,0.14575582537887247,0.13167545668840216
10,ensemble_mi,3,0.8275805938393703,110,0.8245614035087719,0.8544843405790814,0.7925,0.16740319948751303,0.09155038528801185
10,ensemble_mi,4,0.8071848877484853,110,0.8155339805825242,0.9180022221669825,0.8330434782608696,0.15894205132477157,0.11687801088532233
10,ensemble_mi,5,0.8099791984977881,110,0.8712871287128713,0.9382817528545763,0.8784013605442177,0.13412893524804093,0.10661842358140457
10,family_qbc,1,0.7731464716279642,110,0.8,0.9067357862749658,0.8016666666666666,0.17158256129141886,0.10802825308966614
10,family_qbc,2,0.8358819488549508,110,0.8623853211009174,0.8968458414889136,0.835,0.14963443073017987,0.08346474383349692
10,family_qbc,3,0.8191596700634375,110,0.8245614035087719,0.864894709776342,0.8158333333333333,0.16000628564419228,0.056829415734949824
10,family_qbc,4,0.8171610561774565,110,0.8659793814432989,0.9125055086669907,0.8617391304347826,0.13246537584391335,0.12126714596729346
10,family_qbc,5,0.8069396958363123,110,0.9,0.9475622487866833,0.9005102040816326,0.12081878245482633,0.10918762410420702
10,hybrid_mi_diverse,1,0.7772185924993282,110,0.8,0.9030430020045075,0.7991666666666667,0.17295846618015331,0.07835134654368486
