strategy,fold_step_correlations,mean_spearman_distance_vs_log_loss,sd_spearman_distance_vs_log_loss,minimum_spearman,maximum_spearman,positive_correlation_fraction
random,135,0.2399405955178024,0.18507020991730952,-0.6,0.6207692307692307,0.9111111111111111
predictive_entropy,135,0.009859839133936973,0.2415246698167195,-0.6285714285714286,0.5757575757575757,0.5037037037037037
static_easy_entropy,135,0.386527735157707,0.21549493993387392,-0.39999999999999997,0.8999999999999998,0.9481481481481482
self_paced_entropy,135,0.20954931399857082,0.23839796563176702,-0.7333333333333332,0.6275694363061057,0.8
