strategy,fold_count,mean_aulc_f1_10_60,sd_aulc_f1_10_60,min_aulc_f1_10_60,max_aulc_f1_10_60,mean_aulc_f1_10_110,sd_aulc_f1_10_110,min_aulc_f1_10_110,max_aulc_f1_10_110,mean_aulc_f1_10_160,sd_aulc_f1_10_160,min_aulc_f1_10_160,max_aulc_f1_10_160,mean_aulc_f1_10_235,sd_aulc_f1_10_235,min_aulc_f1_10_235,max_aulc_f1_10_235,mean_terminal_f1,sd_terminal_f1,min_terminal_f1,max_terminal_f1,mean_terminal_pr_auc,sd_terminal_pr_auc,min_terminal_pr_auc,max_terminal_pr_auc,target_0.8_reach_count,target_0.8_conditional_mean_labels,target_0.84_reach_count,target_0.84_conditional_mean_labels,target_0.86_reach_count,target_0.86_conditional_mean_labels
random,3,0.7777986941342148,0.03817009722608805,0.7346668154681779,0.8072187473130288,0.7981892319308233,0.033894902066543116,0.759831024617888,0.8241026013159325,0.8100963564118454,0.030722081794747853,0.7754993131915485,0.8341867673109075,0.8170798998537396,0.027726216766925178,0.7860958396223751,0.839552911626102,0.7951391162366449,0.024162414826245773,0.7764705882352942,0.822429906542056,0.8994684720999665,0.040308524394540246,0.8530156890808964,0.9252209972565291,3,23.333333333333332,3,71.66666666666667,2,112.5
predictive_entropy,3,0.7773115670204066,0.06719857847754676,0.7000506528790977,0.8221639457347323,0.8049068674640892,0.042050411429919096,0.7566209893247549,0.8334761572496947,0.8183399989793984,0.032300606521974605,0.7810882119006559,0.8385650958415066,0.8223367206188531,0.029515972100606306,0.7883812997231667,0.8418569992351742,0.7951391162366449,0.024162414826245773,0.7764705882352942,0.822429906542056,0.8994684720999665,0.040308524394540246,0.8530156890808964,0.9252209972565291,3,33.333333333333336,3,56.666666666666664,3,105.0
static_easy_entropy,3,0.7722824182716126,0.05914780658387099,0.704361489226234,0.8124496188038719,0.7845744477228581,0.06651899809606669,0.7081525187717539,0.8294595180747661,0.7914585062624645,0.05994860810990538,0.7225870385480797,0.8319255182151233,0.8015689777681864,0.05574824362876319,0.7379191090715626,0.8417238178103733,0.7951391162366449,0.024162414826245773,0.7764705882352942,0.822429906542056,0.8994684720999665,0.040308524394540246,0.8530156890808964,0.9252209972565291,3,53.333333333333336,3,75.0,2,102.5
self_paced_entropy,3,0.7687389972465152,0.058796358712977614,0.7009761362247109,0.8062477956061294,0.7943883033748357,0.043481983722632477,0.7442998955434728,0.8224402405141537,0.8076975144143731,0.033956528400111735,0.7687000867034625,0.8307241589574715,0.8146596290840805,0.031754275059388465,0.7780142951035215,0.8340656278043802,0.7951391162366449,0.024162414826245773,0.7764705882352942,0.822429906542056,0.8994684720999665,0.040308524394540246,0.8530156890808964,0.9252209972565291,3,38.333333333333336,3,71.66666666666667,3,71.66666666666667
