strategy,job_count,mean_walltime_minutes,minimum_walltime_minutes,maximum_walltime_minutes,summed_gpu_hours
random,3,29.39404523888889,28.369082816666666,30.97966675,1.4697022619444444
predictive_entropy,3,28.637225805555556,28.181849583333335,29.44624525,1.431861290277778
static_easy_entropy,3,28.180112383333334,27.708811366666666,28.650632700000003,1.4090056191666667
self_paced_entropy,3,28.34340172222222,28.130881016666667,28.46550675,1.4171700861111112
