model,fold_count,evidence_type,selected_num_cells,selected_kernel_size,outer_fold_settings,mean_accuracy,sd_accuracy,min_accuracy,max_accuracy,mean_f1,sd_f1,min_f1,max_f1,mean_roc_auc,sd_roc_auc,min_roc_auc,max_roc_auc,mean_pr_auc,sd_pr_auc,min_pr_auc,max_pr_auc,mean_gmean,sd_gmean,min_gmean,max_gmean,mean_brier,sd_brier,min_brier,max_brier,mean_ece_10,sd_ece_10,min_ece_10,max_ece_10,mean_mce_10,sd_mce_10,min_mce_10,max_mce_10,mean_decision_threshold,sd_decision_threshold,min_decision_threshold,max_decision_threshold,worst_f1_fold
AP,5,fold_matched_outer_test,64,n/a,"outer_1:cells=48,kernel=n/a; outer_2:cells=64,kernel=n/a; outer_3:cells=64,kernel=n/a; outer_4:cells=32,kernel=n/a; outer_5:cells=64,kernel=n/a",0.7419104035542392,0.03246525500556417,0.7027027027027027,0.7837837837837838,0.8284632034632035,0.024607800658813992,0.8000000000000002,0.8596491228070174,0.8233640934634723,0.033563256844019486,0.795,0.8681972789115646,0.9059012789911403,0.02871154110087748,0.8650616220786264,0.9422329214821803,0.5742832027989533,0.055882360769169255,0.47958315233127197,0.6204836822995428,0.17786039365803447,0.01915744593170241,0.1545802803203368,0.20597649751026637,0.13947853805543492,0.03109401398392855,0.10316100394403613,0.18778253276203127,0.40557202689876465,0.13872222954642163,0.2517343506217003,0.5632476725361564,0.2176353394985199,0.038549495135351636,0.1806730031967163,0.26496437191963196,1
SP,5,fold_matched_outer_test,32,6,"outer_1:cells=48,kernel=4; outer_2:cells=48,kernel=8; outer_3:cells=48,kernel=6; outer_4:cells=48,kernel=6; outer_5:cells=64,kernel=6",0.8235468345057386,0.03737669202964368,0.7837837837837838,0.863013698630137,0.8705755140923396,0.02902113642693714,0.8333333333333333,0.9,0.8837423099674652,0.03303342446187299,0.8333333333333334,0.9183673469387755,0.939628305771242,0.015001567873418232,0.9230067209154185,0.9607260372600214,0.7860705867379923,0.05125619346247946,0.7164728420068226,0.8428729338451293,0.1404326341983373,0.030477809368707667,0.1096386614110647,0.1762850799871992,0.138097929426492,0.02066167167159701,0.11050457371449149,0.1619094491407678,0.5580773522456487,0.0837264535741024,0.4565137426058451,0.6629138886928558,0.3462018609046936,0.04879263667362799,0.2933337688446045,0.4252314567565918,2
AP_SP,5,fold_matched_outer_test,48,8,"outer_1:cells=48,kernel=8; outer_2:cells=64,kernel=8; outer_3:cells=48,kernel=8; outer_4:cells=64,kernel=8; outer_5:cells=32,kernel=6",0.8180303591262496,0.03626585370972771,0.7837837837837838,0.8767123287671232,0.8685705999344628,0.02533996399766854,0.8431372549019608,0.9072164948453607,0.8673479739721977,0.03295322259345115,0.8158333333333333,0.9022108843537415,0.9355729098491186,0.01395918285710444,0.9187013186359332,0.9525670076673168,0.7689896567636814,0.06472058810872759,0.6928203230275509,0.865042958313569,0.14810682379015133,0.02393156944617413,0.12437032076102332,0.18579195555150185,0.12319052811423767,0.03745557256028762,0.09118287227544428,0.17522480650930794,0.5547898093859355,0.12134779912272674,0.4352339208126068,0.7485363185405731,0.28042432963848113,0.04036378085950646,0.22946934401988983,0.32368379831314087,1
TSNE_SP,5,fold_matched_outer_test,48,6,"outer_1:cells=64,kernel=6; outer_2:cells=48,kernel=8; outer_3:cells=48,kernel=4; outer_4:cells=64,kernel=4; outer_5:cells=64,kernel=6",0.6901517956312476,0.046895269448897714,0.6438356164383562,0.7567567567567568,0.792360925046347,0.038213279922581715,0.7450980392156863,0.8333333333333334,0.761999852114759,0.034357131380459954,0.7330434782608696,0.82,0.8903618729804957,0.014422406623436296,0.8699007539320448,0.9089029363573561,0.49380816959394835,0.10908514735701551,0.34641016151377546,0.6422616289332564,0.1979557580335624,0.009281181051114624,0.18760011254289038,0.21270296703038935,0.1535456160353052,0.018736674745860268,0.12587429442115733,0.17771748997069695,0.48907783745191036,0.21057041031407964,0.32519437869389856,0.8505176305770874,0.2964243769645691,0.024435171637572334,0.2719314992427826,0.3228510320186615,5
TSNE_AP_SP,5,fold_matched_outer_test,64,6,"outer_1:cells=64,kernel=6; outer_2:cells=32,kernel=8; outer_3:cells=48,kernel=6; outer_4:cells=48,kernel=8; outer_5:cells=48,kernel=6",0.7799703813402443,0.042925826820083696,0.7297297297297297,0.8356164383561644,0.8424525681508325,0.02813320549084905,0.8148148148148148,0.8799999999999999,0.8566681455190771,0.039448983287941955,0.805,0.8971088435374149,0.9216891454195023,0.029916467135116656,0.8867926774999454,0.9506315264111319,0.7153374164025201,0.0791972048270339,0.6055300708194984,0.7975302011640107,0.15899133541274088,0.02310650415167737,0.13885303727452894,0.194158964535439,0.14385081306237812,0.036302239419945766,0.12214568481869892,0.20834058180854126,0.4955383706092834,0.24948427090810224,0.32785620689392087,0.9314536601305008,0.30503598153591155,0.05030792428264203,0.22271902859210968,0.34677621722221375,1
