mode,initial_label_count,setup,evaluation_dataset,outer_fold_id,strategy,random_final_F1,strategy_final_F1,final_F1_delta_vs_random,win_vs_random
benchmark,10,ensemble_calibrated,validation,1,cluster_diverse_representative,0.8421052631578948,0.8735632183908046,0.03145795523290984,True
benchmark,10,ensemble_calibrated,validation,1,ensemble_mean,0.8421052631578948,0.8780487804878048,0.03594351732990997,True
benchmark,10,ensemble_calibrated,validation,1,ensemble_mi,0.8421052631578948,0.9024390243902439,0.060333761232349126,True
benchmark,10,ensemble_calibrated,validation,1,family_qbc,0.8421052631578948,0.8860759493670887,0.043970686209193866,True
benchmark,10,ensemble_calibrated,validation,1,hybrid_mi_diverse,0.8421052631578948,0.888888888888889,0.04678362573099415,True
benchmark,10,ensemble_calibrated,validation,1,oed_logdet,0.8421052631578948,0.8764044943820225,0.0342992312241277,True
benchmark,10,ensemble_calibrated,validation,1,predictive_entropy,0.8421052631578948,0.896551724137931,0.05444646098003625,True
benchmark,10,ensemble_calibrated,validation,1,similarity_penalized_mean,0.8421052631578948,0.8641975308641976,0.022092267706302793,True
benchmark,10,ensemble_calibrated,validation,1,ucb,0.8421052631578948,0.888888888888889,0.04678362573099415,True
benchmark,10,ensemble_calibrated,holdout,1,cluster_diverse_representative,0.7500000000000001,0.8571428571428572,0.1071428571428571,True
benchmark,10,ensemble_calibrated,holdout,1,ensemble_mean,0.7500000000000001,0.792079207920792,0.042079207920791895,True
benchmark,10,ensemble_calibrated,holdout,1,ensemble_mi,0.7500000000000001,0.7959183673469388,0.04591836734693866,True
benchmark,10,ensemble_calibrated,holdout,1,family_qbc,0.7500000000000001,0.8,0.04999999999999993,True
benchmark,10,ensemble_calibrated,holdout,1,hybrid_mi_diverse,0.7500000000000001,0.8,0.04999999999999993,True
benchmark,10,ensemble_calibrated,holdout,1,oed_logdet,0.7500000000000001,0.8108108108108109,0.060810810810810745,True
benchmark,10,ensemble_calibrated,holdout,1,predictive_entropy,0.7500000000000001,0.8440366972477064,0.09403669724770625,True
benchmark,10,ensemble_calibrated,holdout,1,similarity_penalized_mean,0.7500000000000001,0.8282828282828283,0.07828282828282818,True
benchmark,10,ensemble_calibrated,holdout,1,ucb,0.7500000000000001,0.7878787878787878,0.037878787878787734,True
benchmark,40,ensemble_calibrated,validation,1,cluster_diverse_representative,0.8470588235294118,0.8947368421052632,0.04767801857585141,True
benchmark,40,ensemble_calibrated,validation,1,ensemble_mean,0.8470588235294118,0.8717948717948718,0.024736048265460053,True
benchmark,40,ensemble_calibrated,validation,1,ensemble_mi,0.8470588235294118,0.8863636363636362,0.03930481283422449,True
benchmark,40,ensemble_calibrated,validation,1,family_qbc,0.8470588235294118,0.8764044943820225,0.02934567085261075,True
benchmark,40,ensemble_calibrated,validation,1,hybrid_mi_diverse,0.8470588235294118,0.9,0.05294117647058827,True
benchmark,40,ensemble_calibrated,validation,1,oed_logdet,0.8470588235294118,0.8831168831168831,0.036058059587471325,True
benchmark,40,ensemble_calibrated,validation,1,predictive_entropy,0.8470588235294118,0.8837209302325583,0.03666210670314651,True
