mode,setup,outer_fold_id,inner_fold_id,replay_seed_size,initial_label_count,run_seed,strategy,selected_rows,unique_selected_sequences
benchmark,ensemble_calibrated,3,1,40,40,20263457,random,100,100
benchmark,ensemble_calibrated,3,1,40,40,20263457,ensemble_mean,100,100
benchmark,ensemble_calibrated,3,1,40,40,20263457,similarity_penalized_mean,100,100
benchmark,ensemble_calibrated,3,1,40,40,20263457,predictive_entropy,100,100
benchmark,ensemble_calibrated,3,1,40,40,20263457,ensemble_mi,100,100
benchmark,ensemble_calibrated,3,1,40,40,20263457,ucb,100,100
benchmark,ensemble_calibrated,3,1,40,40,20263457,family_qbc,100,100
benchmark,ensemble_calibrated,3,1,40,40,20263457,cluster_diverse_representative,100,100
benchmark,ensemble_calibrated,3,1,40,40,20263457,oed_logdet,100,100
benchmark,ensemble_calibrated,3,1,40,40,20263457,hybrid_mi_diverse,100,100
benchmark,ensemble_calibrated,4,1,40,40,20264457,random,100,100
benchmark,ensemble_calibrated,4,1,40,40,20264457,ensemble_mean,100,100
benchmark,ensemble_calibrated,4,1,40,40,20264457,similarity_penalized_mean,100,100
benchmark,ensemble_calibrated,4,1,40,40,20264457,predictive_entropy,100,100
benchmark,ensemble_calibrated,4,1,40,40,20264457,ensemble_mi,100,100
benchmark,ensemble_calibrated,4,1,40,40,20264457,ucb,100,100
benchmark,ensemble_calibrated,4,1,40,40,20264457,family_qbc,100,100
benchmark,ensemble_calibrated,4,1,40,40,20264457,cluster_diverse_representative,100,100
benchmark,ensemble_calibrated,4,1,40,40,20264457,oed_logdet,100,100
benchmark,ensemble_calibrated,4,1,40,40,20264457,hybrid_mi_diverse,100,100
benchmark,ensemble_calibrated,5,1,40,40,20265457,random,100,100
benchmark,ensemble_calibrated,5,1,40,40,20265457,ensemble_mean,100,100
benchmark,ensemble_calibrated,5,1,40,40,20265457,similarity_penalized_mean,100,100
benchmark,ensemble_calibrated,5,1,40,40,20265457,predictive_entropy,100,100
benchmark,ensemble_calibrated,5,1,40,40,20265457,ensemble_mi,100,100
benchmark,ensemble_calibrated,5,1,40,40,20265457,ucb,100,100
benchmark,ensemble_calibrated,5,1,40,40,20265457,family_qbc,100,100
benchmark,ensemble_calibrated,5,1,40,40,20265457,cluster_diverse_representative,100,100
benchmark,ensemble_calibrated,5,1,40,40,20265457,oed_logdet,100,100
benchmark,ensemble_calibrated,5,1,40,40,20265457,hybrid_mi_diverse,100,100
