mode,initial_label_count,setup,strategy,evaluation_dataset,n_repeats,mean_final_F1,std_final_F1,median_final_F1,min_final_F1,max_final_F1,mean_AULC_F1,std_AULC_F1,mean_final_PR_AUC,mean_final_ROC_AUC,mean_final_Brier,mean_final_ECE_10
ablation,10,ensemble_calibrated,cluster_diverse_representative,holdout,5,0.8380485031992123,0.037556916640500725,0.831858407079646,0.7999999999999999,0.88,0.8135522331358,0.024426423626957208,0.9116186030058971,0.8384479443951494,0.1510222214332047,0.10251711853223525
ablation,10,ensemble_calibrated,cluster_diverse_representative,validation,5,0.8869879820553978,0.027944341509910084,0.88,0.8539325842696629,0.9285714285714285,0.8635789561393208,0.019357892445255192,0.9377050806631433,0.8755263157894737,0.13038977504068228,0.1198447691085585
ablation,10,ensemble_calibrated,ensemble_mean,holdout,5,0.8151114799698729,0.08267028774342652,0.8316831683168315,0.6744186046511629,0.8791208791208791,0.7979525287939235,0.0342650781278937,0.8908139391749312,0.8085780834072759,0.16416715392594697,0.11323134693423612
ablation,10,ensemble_calibrated,ensemble_mean,validation,5,0.8630622428524845,0.020806161248992365,0.8604651162790697,0.8461538461538461,0.8974358974358975,0.8504959450516776,0.010740636778669389,0.9201822846705088,0.8378947368421054,0.14957209323647294,0.09092217283555977
ablation,10,ensemble_calibrated,oed_logdet,holdout,5,0.820256779499035,0.048451196074690235,0.851851851851852,0.7608695652173915,0.8599999999999999,0.8011860201076845,0.030985125730538896,0.91203164419859,0.8296645962732919,0.1579052279397119,0.09587243048817527
ablation,10,ensemble_calibrated,oed_logdet,validation,5,0.882375746616253,0.01768531457030736,0.8809523809523809,0.8607594936708861,0.9090909090909091,0.8574257072189517,0.010712019667659969,0.9490038976653115,0.8886842105263157,0.12923896910967164,0.12105556967216613
ablation,10,ensemble_calibrated,predictive_entropy,holdout,5,0.8339965136184837,0.0295844753099778,0.8484848484848485,0.782608695652174,0.8541666666666666,0.8293674621789282,0.02070319327123793,0.9292767952171875,0.8648343685300206,0.1425798029032011,0.09516724740166707
ablation,10,ensemble_calibrated,predictive_entropy,validation,5,0.8947252747252747,0.01599940290584403,0.9,0.8666666666666667,0.9047619047619048,0.8766974452333987,0.014541897202298083,0.9488013751401111,0.9002631578947368,0.11829245158697263,0.11392011134283331
ablation,10,ensemble_calibrated,random,holdout,5,0.8222381968434599,0.04330404592536698,0.8288288288288288,0.7500000000000001,0.8571428571428571,0.8054751496265682,0.02478321277151727,0.9010761893799437,0.8255014788524105,0.15555268189705612,0.09536005571075064
ablation,10,ensemble_calibrated,random,validation,5,0.8842335317773914,0.042205412775283606,0.8648648648648648,0.8421052631578948,0.9500000000000001,0.8645221089056705,0.019429217638249563,0.9460922947815537,0.885,0.12833396244958534,0.10415747309682452
ablation,10,ensemble_calibrated,similarity_penalized_mean,holdout,5,0.8402164105093892,0.018702292246311387,0.8305084745762712,0.8282828282828283,0.8723404255319148,0.8014501696667317,0.028425808338750077,0.8964608191287953,0.8085569358178054,0.165163318229672,0.09978332843047755
ablation,10,ensemble_calibrated,similarity_penalized_mean,validation,5,0.8684481135354265,0.020606823927822968,0.8641975308641976,0.8505747126436781,0.9,0.8464707388493583,0.011298874556963958,0.9219131123433565,0.843157894736842,0.14942203638992252,0.08582890834678154
ablation,10,ensemble_raw,cluster_diverse_representative,holdout,5,0.8110996782430833,0.06579070375566624,0.8172043010752688,0.7058823529411764,0.8846153846153846,0.8105233909802303,0.025054884264636708,0.9140594786704834,0.8330808932268559,0.15458882208196764,0.09629900174377495
ablation,10,ensemble_raw,cluster_diverse_representative,validation,5,0.8729124429053557,0.02102726620875999,0.8648648648648648,0.8470588235294118,0.8974358974358975,0.8592611935436139,0.020642786644101973,0.9256119272138547,0.858157894736842,0.14010413825478904,0.10742182537408203
ablation,10,ensemble_raw,ensemble_mean,holdout,5,0.7972388265175021,0.03195634407291524,0.8034188034188033,0.7441860465116279,0.8305084745762712,0.7945895758811686,0.02789321061567783,0.8762241002499508,0.7752917775805974,0.19679102602157938,0.16377511114768906
ablation,10,ensemble_raw,ensemble_mean,validation,5,0.8653770287741551,0.025073055227663683,0.8780487804878048,0.8351648351648352,0.891566265060241,0.8330641054290687,0.011674689249839651,0.9172244658593149,0.8286842105263158,0.17128561530835307,0.17085826129668344
ablation,10,ensemble_raw,oed_logdet,holdout,5,0.8262706534955555,0.03540853353506185,0.8245614035087719,0.782608695652174,0.88,0.8031562931290512,0.03259618510320604,0.9000684274026035,0.8176249630286897,0.1621943859949908,0.096303037965704
ablation,10,ensemble_raw,oed_logdet,validation,5,0.894436916591388,0.034676217371921655,0.8780487804878048,0.8641975308641976,0.9382716049382716,0.8558125354039223,0.013439066846981467,0.9409392094708953,0.881578947368421,0.13195257500568666,0.10039776005103425
ablation,10,ensemble_raw,predictive_entropy,holdout,5,0.843844446746233,0.021701811464847426,0.8440366972477064,0.8222222222222222,0.8775510204081632,0.8394602481745229,0.0224160498773796,0.9086295506405113,0.8532015675835553,0.14236916325035576,0.09453138729027082
ablation,10,ensemble_raw,predictive_entropy,validation,5,0.8873011194850274,0.022521347949731554,0.896551724137931,0.857142857142857,0.9135802469135802,0.873417688929153,0.022942345283054347,0.9424286687095356,0.8865789473684209,0.12626193486843484,0.08579512925345008
ablation,10,ensemble_raw,random,holdout,5,0.8127992060670696,0.04122060853610018,0.810344827586207,0.7500000000000001,0.8541666666666666,0.8039486924496575,0.024332770460688564,0.8994141745095717,0.8248173617272995,0.15814936411183725,0.11373057480745627
ablation,10,ensemble_raw,random,validation,5,0.8874607778510217,0.039506818997871056,0.8666666666666667,0.8533333333333333,0.9500000000000001,0.8645727951830835,0.01914673243892977,0.9465440377197142,0.8863157894736842,0.12911706913156468,0.10954254080557216
ablation,10,ensemble_raw,similarity_penalized_mean,holdout,5,0.8231621387678725,0.052392769212808006,0.8392857142857143,0.74,0.8775510204081631,0.796062241327527,0.032740584139728586,0.8820927227065167,0.7838534457261166,0.19161326453019384,0.17183197552509955
ablation,10,ensemble_raw,similarity_penalized_mean,validation,5,0.862020575503801,0.02500686289648637,0.8674698795180723,0.8247422680412371,0.8863636363636362,0.8409511805918989,0.011577129781803292,0.9164153633535246,0.8289473684210525,0.16686174972714254,0.14915228508602263
ablation,10,single_calibrated,cluster_diverse_representative,holdout,5,0.7637121789982201,0.10495734265773403,0.8173913043478259,0.5789473684210525,0.8222222222222222,0.808636268812456,0.020532280039209504,0.8985806856337119,0.8217017154687962,0.15771241992871152,0.09896964099630598
