initial_size,configuration,mean_AULC_F1,mean_final_F1,mean_final_Brier,mean_final_ECE_10
10,Single raw,0.80270056460844,0.822407964931415,0.173828787749578,0.132380801932278
10,Single calibrated,0.80247254770941,0.81560838610718,0.160938337361625,0.107877449080365
10,Ensemble raw,0.807956740323693,0.819069158306219,0.167617670998487,0.122745181413332
10,Ensemble calibrated,0.808163927251606,0.828311313939909,0.156065067721465,0.10032192124959
40,Single raw,0.817029459184831,0.830170692518757,0.163572942719271,0.135753319950472
40,Single calibrated,0.817045372653584,0.82994084274351,0.153294131984781,0.102039129207077
40,Ensemble raw,0.817083645371486,0.834007878461967,0.153058953791349,0.119381452611782
40,Ensemble calibrated,0.817692039351249,0.831366997163389,0.149031950963557,0.101021076311511
