policy,utility_only_mean_pairwise_normalized_levenshtein_distance,utility_only_minimum_pairwise_normalized_levenshtein_distance,utility_only_mean_pairwise_composition_similarity,utility_only_maximum_pairwise_composition_similarity,utility_only_mean_sequence_length,utility_only_minimum_sequence_length,utility_only_maximum_sequence_length,utility_only_unique_sequence_lengths,utility_only_mean_acquisition_utility,utility_only_minimum_acquisition_utility,utility_only_sum_acquisition_utility,similarity_aware_mean_pairwise_normalized_levenshtein_distance,similarity_aware_minimum_pairwise_normalized_levenshtein_distance,similarity_aware_mean_pairwise_composition_similarity,similarity_aware_maximum_pairwise_composition_similarity,similarity_aware_mean_sequence_length,similarity_aware_minimum_sequence_length,similarity_aware_maximum_sequence_length,similarity_aware_unique_sequence_lengths,similarity_aware_mean_acquisition_utility,similarity_aware_minimum_acquisition_utility,similarity_aware_sum_acquisition_utility,delta_mean_pairwise_normalized_levenshtein_distance,delta_mean_acquisition_utility,jaccard_overlap,selected_utility_ranks,first_step_similarity_penalty,mean_similarity_penalty_steps_2_to_5,minimum_similarity_penalty_steps_2_to_5,maximum_similarity_penalty_steps_2_to_5,minimum_encountered_final_similarity_penalty,maximum_encountered_final_similarity_penalty,minimum_retained_pool_acquisition_utility,maximum_retained_pool_acquisition_utility,penalty_exceeds_utility_count
greedy,0.6900000000000001,0.1,0.041,0.09000000000000001,10.0,10,10,1,0.9760364401965941,0.9756781460527308,4.88018220098297,0.8899999999999999,0.3,0.024,0.06999999999999999,10.0,10,10,1,0.974383968332013,0.9722516222756757,4.871919841660065,0.19999999999999984,-0.001652471864581062,0.25,1;23;20;11;2,0.0,0.020833333333333332,0.009999999999999998,0.03,0.0,0.06999999999999999,0.9655881449815702,0.9767073886273808,0
ucb,0.61,0.1,0.057000000000000016,0.1,10.0,10,10,1,1.0136295566421298,0.9914790765460044,5.068147783210649,0.71,0.1,0.04100000000000001,0.1,10.0,10,10,1,1.0119697721471503,0.9831801540711068,5.059848860735752,0.09999999999999998,-0.0016597844949794993,0.6666666666666666,1;17;4;3;2,0.0,0.03270833333333334,0.009999999999999998,0.05750000000000001,0.0,0.1,0.9752458344242831,1.026376965121132,0
pi,0.11500000000000002,0.05,0.095,0.1,20.0,20,20,1,0.9515819244893657,0.9422818043762012,4.757909622446829,0.4154545454545454,0.1,0.08226190476190477,0.1,20.4,20,22,2,0.9452939895258753,0.9108421295587488,4.7264699476293766,0.3004545454545454,-0.006287934963490449,0.6666666666666666,1;2;4;3;7,0.0,0.08714285714285715,0.06190476190476191,0.09666666666666668,0.0,0.1,0.09124748344081551,0.9672769306104038,0
ei,0.5999999999999999,0.25,0.05257142857142858,0.08571428571428573,7.2,7,8,2,0.00453426538673564,0.0017357230613483064,0.0226713269336782,0.9571428571428571,0.7142857142857143,0.007252747252747255,0.042857142857142864,6.6,6,7,2,0.00258908416800963,3.7659440919727053e-06,0.012945420840048148,0.3571428571428572,-0.0019451812187260102,0.25,1;6;20;17;3,0.0,0.0048534798534798545,0.0,0.014285714285714289,0.0,0.07142857142857144,-1.085557169626611e-17,0.008157826989965002,168
mes,0.12727272727272726,0.045454545454545456,0.09311839323467232,0.09767441860465116,21.8,21,22,2,0.6491883757344409,0.6395648390996775,3.2459418786722045,0.15995670995670996,0.045454545454545456,0.08791603745092118,0.09545454545454546,21.6,21,22,2,0.6480325572557227,0.6364800160412531,3.2401627862786135,0.032683982683982704,-0.0011558184787181514,0.6666666666666666,1;2;8;3;5,0.0,0.08868135256216653,0.08139534883720931,0.09545454545454546,0.0,0.09545454545454546,0.0026501249060370993,0.6608454895972792,28
